Argumenty i fakty,AIF,0204-0476
Argumenty nedeli,"	AMN",
Ekonomika i zhizn',ECO,
Ekran i stsena,"	EKIS",
Ekspert,"	EXP",1812-1896
Ezhednevnaia delovaia gazeta RBK,RBD,
Finansovaia gazeta,FING,1727-7981
Gudok,GUDK,
Izvestiia,IZV,0233-4356
Kommersant,KDA,
Komsomol'skaia pravda,KPR,
Kul'tura,KUL,1562-0379
Literaturnaia gazeta,LGA,0233-4305
Literaturnaia Rossiia,LIRO,1560-6856
"Moscow Times, The (web version)",MTIWEB,
Moskovskaia pravda,MPR,
Moskovskii komsomolets,MKO,1562-1987
Nasha versiia,VSIN,
"New Times, The (web version)",NTIWEB,
Nezavisimaia gazeta,NGA,0233-4305
Novaia gazeta,NPO,
Novye Izvestiia (web version),NIZWEB,
Ogonek,OGO,0131-0097
Pravda,PRD,0233-4275
President,PRZ,
Profil',PRF,1726-0639
Republic (Slon),SLN,
Rossiiskaia gazeta,RGA,1606-5484
Sankt-Peterburgskie vedomosti,SPV,
Slovo,SLV,
Sobesednik,SOBS,1560-5663
Solidarnost',SOLD,
Sovetskaia Rossiia,SRS,7145-2508
Stroitel'naia gazeta,STGA,0491-1660
Trud,TRD,1025-1189
Uchitel'skaia gazeta,UHG,0233-4488
Vecherniaia Moskva,VEM,1025-1200
Vedomosti,VED,
Zavtra,ZVR,
Ekho planety,EPL,0234-1670
Ezhenedel'nyi zhurnal,EJZ,1681-5092
Finansovye Izvestiia,FIZ,
Gazeta,GAZ,1681-3618
InterFax-Vremia,IAI,
ITAR-TASS Daily ,ITA,
Itogi,"	ITG",1027-3964
Kommersant. Den'gi,KDE,
Kommersant. Vlast',"	KDV",
Konservator,KSV,
Krasnaia zvezda,KZV,0023-4559
"Moscow News, The",MSN,0027-1306
"Moscow Times, The",MTI,
Moskovskie novosti,MNO,0256-551X
Moskovskie novosti,MON,0256-551X
Nasha versiia (archive),VSI,
"New Times, The","	NTI",0137-0723
"New Times, The",NTIM,
NG. Dipkur'er,"	DIP",
NG. Figury i litsa,FIL,
NG. Politekonomiia,NGP,
NG. Regiony,NGR,
NG. Sodruzhestvo,SOD,
NG. Stsenarii,NGS,
Novoe vremia,NOW,0137-0723
Novye izvestiia,NIZ,
Obshchaia gazeta,OGA,
Paradox,PDX,1609-2368
Politbiuro,PLB,
Pravda 5,PPW,
Pravda 5. Daily,PPI,
Pravoslavnaia Moskva (archive),PMO,
Rossiia,ROS,
Rossiiskie vesti,RVE,
"Russia Journal, The",RUJ,
Russkii kur'er,RUK,
Russkii reporter,RUR,1993-758X
Russkii Telegraf,RTE,
Segodnia,DASEG,1407-4699
Tribuna,TRB,
Vek,VEK,1028-995X
Versiia,VER,
Vremia MN,VMN,1029-8487
Vremia novostei,VRN,1605-8844
Alma Mater,ALM,1026-955?
"Arkheologiia, etnografiia i antropologiia Evrazii",AEE,1563-0102
Aziia i Afrika segodnia,AIA,0321-5075
Chelovek,CHE,0236-2007
Diletant,DLT,2226-6887
Dostoevskii: Materialy i issledovaniia,DMI,0321-5024
Druzhba narodov,DRN,0012-6756
EKO. Vserossiiskii ekonomicheskii zhurnal,EKO,0131-7652
Ekonomicheskaia politika,EPK,1994-2275
Ekonomicheskoe razvitie Rossii,ERR,2306-5001
Ekonomika i matematicheskie metody,EMM,0424-7388
Etnograficheskoe obozrenie,EGO,0869-5415
Filologicheskie nauki,FLN,2310-4287
Filosofiia obrazovaniia,FIO,1811-0916
"Gosudarstvo, religiia, tserkov' v Rossii i za rubezhom",GRS,2073-7203
Gumanitarnye nauki v Sibiri,GNS,0869-8651
Iskusstvo kino,IKK,0130-6545
Istoriia I istoriki,IIE,
Istoriko-filosofskii ezhegodnik,IFE,0134-8655
Iunost',UNO,0132-2036
Izvestiia RAN. Seriia literatury i iazyka,SLI,1605-7880
Latinskaia Amerika,LAM,0044-748X
Logos,LGO,0869-5377
Mezhdunarodnaia zhizn',MEZ,0130-9625
Mezhdunarodnye protsessy,ITR,1728-2756
Mirovaia ekonomika i mezhdunarodnye otnosheniia,MEO,0131-2227
Molodaia gvardiia,MGV,0131-2251
Moskva,MOS,0131-2332
Nash sovremennik,NSO,0027-8238
Neprikosnovennyi zapas,NPZ,1815-7912
Neva,NEV,0130-741X
Novaia i noveishaia istoriia,NNI,0029-5124
Novaia iunost',NOU,0869-7361
Novoe literaturnoe obozrenie,NLO,0869-6365
Novyi mir,NOM,0130-7673
Obshchestvennye nauki i sovremennost',ONA,0869-0499
Obshchestvo i ekonomika,OIE,0207-3676
Odissei: Chelovek v istorii,OCH,0868-751X
Otechestvennye arkhivy,OAR,0869-4427
Pedagogika,PDG,0869-561X
Philologia Classica,SPBGUFG,0202-2532
Poisk,PIS,
POLIS. Politicheskie issledovaniia,PLS,1026-9487
Problemy Dal'nego Vostoka,PDV,0131-2812
"Problemy istorii, filologii, kul'tury",PIFK,1991-9484
Problemy prognozirovaniia,PRP,0868-6351
RBK,RBC,1818-2356
Rodina,RDN,0235-7089
Rossiia v global'noi politike,RGP,1810-6439
Rossiiskaia arkheologiia,ARH,0869-6063
Rossiiskaia istoriia,OTI,0869-5687
Russia in Global Affairs,RGE,1810-6374
Russkaia literatura,RLI,0131-6095
Russkaia rech',RRE,0131-6117
Russkaia slovesnost',RSL,0868-9539
Seans,SENS,0136-0108
Skandinavskaia filologiia,SPBGUSF,0202-2397
Slavianovedenie,SVD,0869-544X
Sotsial'no-gumanitarnye znaniia,SGZ,0869-8120
Sotsial'no-politicheskie nauki,SPN,2223-0092
Sotsiologicheskie issledovaniia,SCS,0132-1625
Srednie veka,NAUKASRV,0131-8780
"SShA - Kanada. Ekonomika, politika, kul'tura",USA,
"State, Religion and Church",SRE,
Studia Litterarum,STL,2500-4247
Svobodnaia mysl',SMY,0869-4435
Svoi,SVY,1812-6707
Tsivilizatsii,TSI,
Vestnik drevnei istorii,VDI,0321-0391
Voprosy ekonomiki,VEC,0042-8736
Voprosy filologii,VFL,1562-1391
Voprosy filosofii,VFI,0042-8744
Voprosy iazykovogo rodstva,YZR,2219-3820
