Court Code,Court Name,Court Type,Circuit,State
akb,United States Bankruptcy Court District of Alaska,Bankruptcy,9th,Alaska
akd,United States District Court District of Alaska,District,9th,Alaska
almb,United States Bankruptcy Court Middle District of Alabama,Bankruptcy,11th,Alabama
almd,United States District Court Middle District of Alabama,District,11th,Alabama
alnb,United States Bankruptcy Court Northern District of Alabama,Bankruptcy,11th,Alabama
alnd,United States District Court Northern District of Alabama,District,11th,Alabama
alsb,United States Bankruptcy Court Southern District of Alabama,Bankruptcy,11th,Alabama
alsd,United States District Court Southern District of Alabama,District,11th,Alabama
areb,United States Bankruptcy Court Eastern District of Arkansas,Bankruptcy,8th,Arkansas
ared,United States District Court Eastern District of Arkansas,District,8th,Arkansas
arwb,United States Bankruptcy Court Western District of Arkansas,Bankruptcy,8th,Arkansas
arwd,United States District Court Western District of Arkansas,District,8th,Arkansas
azb,United States Bankruptcy Court District of Arizona,Bankruptcy,9th,Arizona
azd,United States District Court District of Arizona,District,9th,Arizona
ca1,United States Court of Appeals for the First Circuit,Appellate,1st,N/A
ca10,United States Court of Appeals for the Tenth Circuit,Appellate,10th,N/A
ca11,United States Court of Appeals for the Eleventh Circuit,Appellate,11th,N/A
ca13,United States Court of Appeals for the Federal Circuit,Appellate,Federal,N/A
ca2,United States Court of Appeals for the Second Circuit,Appellate,2nd,N/A
ca3,United States Court of Appeals for the Third Circuit,Appellate,3rd,N/A
ca4,United States Court of Appeals for the Fourth Circuit,Appellate,4th,N/A
ca5,United States Court of Appeals for the Fifth Circuit,Appellate,5th,N/A
ca6,United States Court of Appeals for the Sixth Circuit,Appellate,6th,N/A
ca7,United States Court of Appeals for the Seventh Circuit,Appellate,7th,N/A
ca8,United States Court of Appeals for the Eighth Circuit,Appellate,8th,N/A
ca9,United States Court of Appeals for the Ninth Circuit,Appellate,9th,N/A
cacb,United States Bankruptcy Court Central District of California,Bankruptcy,9th,California
cacd,United States District Court Central District of California,District,9th,California
caDC,United States Court of Appeals for the District of Columbia Circuit,Appellate,DC,N/A
caeb,United States Bankruptcy Court Eastern District of California,Bankruptcy,9th,California
caed,United States District Court Eastern District of California,District,9th,California
canb,United States Bankruptcy Court Northern District of California,Bankruptcy,9th,California
cand,United States District Court Northern District of California,District,9th,California
casb,United States Bankruptcy Court Southern District of California,Bankruptcy,9th,California
casd,United States District Court Southern District of California,District,9th,California
cit,United States Court of International Trade,National,Federal,N/A
cob,United States Bankruptcy Court for the District of Colorodo,Bankruptcy,10th,Colorado
cod,United States District Court District of Colorado,District,10th,Colorado
cofc,United States Court of Federal Claims,National,Federal,N/A
ctb,United States Bankruptcy Court District of Connecticut,Bankruptcy,2nd,Connecticut
ctd,United States District Court District of Connecticut,District,2nd,Connecticut
dcb,United States Bankruptcy Court District of Columbia,Bankruptcy,DC,District of Columbia
dcd,United States District Court District of Columbia,District,DC,District of Columbia
deb,United States Bankruptcy Court District of Delaware,Bankruptcy,3rd,Delaware
ded,United States District Court District of Delaware,District,3rd,Delaware
flmb,United States Bankruptcy Court Middle District of Florida,Bankruptcy,11th,Florida
flmd,United States District Court Middle District of Florida,District,11th,Florida
